osmid,highway,name,oneway,reversed,length,geometry,ref,bridge,lanes,maxspeed,access,junction,tunnel,crime_score
"[11677493, 37966630, 37966631]",secondary_link,,True,False,511.3578639061623,"LINESTRING (-74.441359 40.4925431, -74.4411741 40.4925424, -74.4411233 40.4925394, -74.4409688 40.4925584, -74.4407913 40.4925792, -74.4406179 40.4925947, -74.4404474 40.492607, -74.4402558 40.4926199, -74.4400509 40.4926286, -74.4398855 40.4926342, -74.4395631 40.4926401, -74.4394154 40.4926425, -74.439309 40.4926457, -74.4392056 40.4926511, -74.4391013 40.4926589, -74.4389943 40.4926681, -74.4388993 40.4926772, -74.4387863 40.4926902, -74.4386833 40.492705, -74.4385943 40.4927187, -74.4385366 40.4927295, -74.4384689 40.4927467, -74.4384102 40.4927639, -74.4383563 40.4927833, -74.438303 40.4928059, -74.4382456 40.492833, -74.438193 40.4928599, -74.4381444 40.4928872, -74.4380977 40.4929186, -74.4380631 40.4929473, -74.4380289 40.4929798, -74.438004 40.4930127, -74.4379809 40.4930507, -74.4379642 40.4930852, -74.4379507 40.4931182, -74.4379426 40.4931534, -74.43794 40.4931861, -74.4379428 40.4932213, -74.4379475 40.4932569, -74.4379562 40.4932875, -74.4379689 40.4933161, -74.4379866 40.4933487, -74.4380083 40.4933793, -74.438036 40.4934109, -74.4380675 40.4934397, -74.4381029 40.4934667, -74.4381383 40.4934914, -74.4381781 40.4935159, -74.4382256 40.4935421, -74.4384299 40.4936523, -74.4385016 40.4936933, -74.4385581 40.4937291, -74.4386133 40.4937682, -74.4386707 40.4938119, -74.4387174 40.4938539, -74.4387603 40.4938953, -74.4387972 40.4939398, -74.4388352 40.4939917, -74.4388593 40.4940326, -74.4388861 40.4940834, -74.438911 40.494139, -74.4389326 40.4941978, -74.4389452 40.4942423, -74.4389721 40.4943438, -74.4391153 40.4946176)",,yes,1,,,,,0.0
547855619,secondary,New Street,False,False,50.734586830845785,"LINESTRING (-74.441359 40.4925431, -74.4415136 40.4925166, -74.4419449 40.4924449)",,,3,,,,,0.0
1286669080,residential,Neilson Street,False,True,142.48555802588302,"LINESTRING (-74.441359 40.4925431, -74.4413504 40.4926833, -74.4414725 40.4932562, -74.4414916 40.4933438, -74.441543 40.4935757, -74.4415602 40.4936665, -74.441588 40.4937506, -74.4416164 40.4938047)",,,,,,,,0.0
574773689,residential,Neilson Street,False,True,12.755126858763848,"LINESTRING (-74.4413448 40.4924289, -74.441359 40.4925431)",,,,,,,,0.0
23578983,secondary_link,,True,False,82.53787610332611,"LINESTRING (-74.4413448 40.4924289, -74.441137 40.4924468, -74.4405442 40.4924949, -74.440449 40.4925022, -74.4403742 40.4925071)",,,1,,,,,0.0
272967360,residential,Neilson Street,True,False,92.273032305044,"LINESTRING (-74.4413448 40.4924289, -74.4413375 40.4923754, -74.4412861 40.4920655, -74.4412479 40.4919605, -74.4411006 40.4917163, -74.4410569 40.4916369)",,,,,,,,0.0
11675797,residential,Senior Street,False,False,164.4446330912906,"LINESTRING (-74.45182 40.5045219, -74.4519034 40.5044732, -74.4525789 40.5040793, -74.4525931 40.504071, -74.4527019 40.5040076)",,,,,,,,1.5
740687412,residential,Riverside Drive,False,False,23.400217492477,"LINESTRING (-74.4396557 40.4919082, -74.4395226 40.4917237)",,,,,,,,0.0
293038532,residential,Riverside Drive,False,True,69.750104650896,"LINESTRING (-74.4396557 40.4919082, -74.4396642 40.4919794, -74.4396645 40.4919892, -74.4396881 40.4924609, -74.4396913 40.4925348)",,,,,,,,0.0
466754387,residential,Hildebrand Way,True,False,58.058438311019145,"LINESTRING (-74.4396557 40.4919082, -74.4397445 40.4919073, -74.4402164 40.4919023, -74.4403422 40.491901)",,,,,,,,0.0
11658539,residential,Tabernacle Way,False,False,51.156903452627965,"LINESTRING (-74.4391238 40.4910959, -74.4387754 40.4912249, -74.4386818 40.4912595, -74.4386548 40.4912695, -74.4385799 40.4912973)",,,2,,,,,0.0
11658539,residential,Tabernacle Way,False,True,56.96287126399949,"LINESTRING (-74.4391238 40.4910959, -74.4395036 40.4909552, -74.4397294 40.4908716)",,,2,,,,,0.0
740687411,residential,Riverside Drive,False,True,77.54110894287975,"LINESTRING (-74.4391238 40.4910959, -74.4391832 40.4912005, -74.4394503 40.4916123, -74.4395226 40.4917237)",,,,,,,,0.0
740687412,residential,Riverside Drive,False,True,23.400217492477,"LINESTRING (-74.4395226 40.4917237, -74.4396557 40.4919082)",,,,,,,,0.0
740687411,residential,Riverside Drive,False,False,77.54110894287975,"LINESTRING (-74.4395226 40.4917237, -74.4394503 40.4916123, -74.4391832 40.4912005, -74.4391238 40.4910959)",,,,,,,,0.0
11658539,residential,Tabernacle Way,False,False,56.96287126399949,"LINESTRING (-74.4397294 40.4908716, -74.4395036 40.4909552, -74.4391238 40.4910959)",,,2,,,,,0.0
11658539,residential,Tabernacle Way,False,True,69.11781441125252,"LINESTRING (-74.4397294 40.4908716, -74.4397883 40.4908498, -74.4401043 40.4907328, -74.4403326 40.4906482, -74.4403761 40.4906372, -74.4404715 40.490613)",,,2,,,,,0.0
309285933,residential,Hope Manor Drive,False,False,188.4947249182186,"LINESTRING (-74.4422766 40.4906888, -74.442341 40.4906672, -74.4425444 40.490599, -74.442593 40.4905829, -74.4426324 40.4905698, -74.4427182 40.4904994, -74.4432871 40.490077, -74.4432984 40.4900496, -74.44312 40.4897646, -74.4428425 40.4895847, -74.4427652 40.4895346)",,,,,,,,0.0
"[588917809, 375631266]",tertiary,George Street,False,False,347.982544793927,"LINESTRING (-74.4422766 40.4906888, -74.442371 40.4908385, -74.4426085 40.4912149, -74.4427239 40.4913978, -74.4427513 40.4914412)",CR 527,,,,,,,5.5
375631266,tertiary,George Street,False,True,286.2273239324305,"LINESTRING (-74.4422766 40.4906888, -74.4418974 40.490138, -74.4418579 40.4900807)",CR 527,,,,,,,5.5
11672279,residential,Kirkpatrick Street,False,True,128.05668774916148,"LINESTRING (-74.4467056 40.4947636, -74.4466921 40.4947011, -74.44656 40.4940896, -74.4465419 40.494006)",,,,,,,,1.0
"[371490360, 371490606]",residential,Kirkpatrick Street,True,False,197.39592105897177,"LINESTRING (-74.4467056 40.4947636, -74.4467188 40.494825, -74.4467929 40.4951709, -74.4468739 40.495519, -74.4468695 40.4955358, -74.4468553 40.4955799, -74.4468523 40.4956012, -74.4469087 40.4958706, -74.4469212 40.4959304)",,,1,,,,,1.0
371490607,residential,Paterson Street,True,False,327.68301948360363,"LINESTRING (-74.4467056 40.4947636, -74.4466369 40.4947736, -74.4452828 40.4949716, -74.4451834 40.4949861)",,,,,,,,3.0
11661763,residential,Richmond Street,False,False,51.51385458773244,"LINESTRING (-74.4402031 40.4941245, -74.440357 40.4940937, -74.4407013 40.4940247, -74.4407922 40.4940065)",,,2,,yes,,,0.0
574773688,residential,Richmond Street,True,False,69.65215910183566,"LINESTRING (-74.4402031 40.4941245, -74.4399393 40.4941708, -74.439866 40.4941821, -74.4398011 40.4941946, -74.4396292 40.4942306, -74.4395976 40.4942342, -74.4395717 40.4942349, -74.4395495 40.4942321, -74.4395194 40.494224, -74.4394891 40.4942144, -74.4394586 40.4941998, -74.4394182 40.4941752)",,,2,,yes,,,0.0
11658531,residential,Hampton Road,False,True,171.16151950142913,"LINESTRING (-74.4855876 40.4761036, -74.487242 40.47699)",,,,,,,,0.0
11658531,residential,Hampton Road,False,False,52.828004615532585,"LINESTRING (-74.4855876 40.4761036, -74.4854849 40.4760486, -74.485077 40.47583)",,,,,,,,0.0
11665867,residential,Edpas Road,True,False,75.99926334073943,"LINESTRING (-74.4738786 40.4831463, -74.4738891 40.4831284, -74.4738902 40.4831053, -74.4738804 40.4830797, -74.4738581 40.4830611, -74.4738386 40.4830524, -74.4738076 40.4830479, -74.4737859 40.4830471, -74.4737582 40.4830512, -74.4735931 40.4833036)",,,,,,,,1.0
779540162,residential,Edpas Road,False,False,632.1905384346368,"LINESTRING (-74.4738786 40.4831463, -74.4739805 40.4832115, -74.4740069 40.4832239, -74.4742755 40.4833503, -74.4744955 40.4833258, -74.4746993 40.4832034, -74.475089 40.482882, -74.47539 40.482603, -74.475708 40.482307, -74.4763762 40.4817169, -74.4765186 40.4815777, -74.476687 40.481413, -74.476829 40.481275, -74.476979 40.481128, -74.4770181 40.4810882, -74.4770351 40.4810722, -74.47712 40.480992, -74.477265 40.48085)",,,,,,,,1.0
"[38209476, 38209479]",motorway,,True,False,740.0886143879878,"LINESTRING (-74.4496092 40.5052211, -74.4492779 40.5050127, -74.4471283 40.503605, -74.4456204 40.5026259, -74.4453958 40.5024812, -74.4451796 40.502344, -74.4449566 40.5022082, -74.4447408 40.5020755, -74.4445117 40.5019395, -74.4442744 40.5018001, -74.4440523 40.50167, -74.4438284 40.5015425, -74.4435869 40.5014011, -74.4433672 40.5012722, -74.4431389 40.5011301, -74.4428817 40.5009653)",NJ 18,,2,55 mph,,,yes,0.0
359289474,residential,Elijah's Way,False,False,53.36476962001431,"LINESTRING (-74.4398163 40.4885355, -74.4397582 40.4885573, -74.4397299 40.4885679, -74.4393442 40.4887128, -74.4392505 40.488748)",,,,,,,,0.0
609075064,residential,Abeel Street,True,False,85.68761130585567,"LINESTRING (-74.4398163 40.4885355, -74.4402347 40.4891942, -74.440257 40.4892294)",,,,,,,,0.0
610367156,residential,Abeel Street,False,True,36.33522381946543,"LINESTRING (-74.4398163 40.4885355, -74.4396785 40.48833, -74.4396211 40.4882444)",,,,,,,,0.0
272967356,residential,Neilson Street,False,False,66.98937511920964,"LINESTRING (-74.4392505 40.488748, -74.4391818 40.4886391, -74.4389669 40.4882993, -74.4389017 40.4882072)",,,,,,,,0.0
272967356,residential,Neilson Street,False,True,84.9018594457613,"LINESTRING (-74.4392505 40.488748, -74.4392836 40.4887991, -74.4394908 40.4891191, -74.4395984 40.4892853, -74.4396713 40.4893979, -74.4396784 40.4894089, -74.439694 40.489433)",,,,,,,,0.0
